id,education,marital_status,income$,kidhome,teenhome,mntwines,mntfruits,mntmeatproducts,mntfishproducts,mntsweetproducts,mntgoldprods,numdealspurchases,numwebpurchases,numcatalogpurchases,numstorepurchases,numwebvisitsmonth,acceptedcmp3,acceptedcmp4,acceptedcmp5,acceptedcmp1,acceptedcmp2,response,complain,country,age,year,month,month_name,day,day_name,quarter,weekday,week_categories,season,days_of_purchases
2079,2n Cycle,Married,81044.0,0,0,450.0,26.0,535.0,73.0,98.0,26.0,1,5,6,10,1,0,0,0,0,0,0,0,US,77,2013,12,December,27,Friday,4,4,WorkDay,Winter,Top Sellers
5642,Master,Together,62499.0,1,0,140.0,4.0,61.0,0.0,13.0,4.0,2,3,1,6,4,0,0,0,0,0,0,0,SP,45,2013,12,December,9,Monday,4,0,WorkDay,Winter,Top Sellers
10530,PhD,Widow,67786.0,0,0,431.0,82.0,441.0,80.0,20.0,102.0,1,3,6,6,1,0,0,0,0,0,1,0,IND,65,2013,12,December,7,Saturday,4,5,WeekEnd,Winter,Top Sellers
2964,Graduation,Married,26872.0,0,0,3.0,10.0,8.0,3.0,16.0,32.0,1,1,1,2,6,0,0,0,0,0,0,0,CA,43,2013,10,October,16,Wednesday,4,2,WorkDay,Fall,Top Sellers
10311,Graduation,Married,4428.0,0,1,16.0,4.0,12.0,2.0,4.0,321.0,0,25,0,0,1,0,0,0,0,0,0,0,SP,55,2013,10,October,5,Saturday,4,5,WeekEnd,Fall,Top Sellers
837,Graduation,Married,54809.0,1,1,63.0,6.0,57.0,13.0,13.0,22.0,4,2,1,5,4,0,0,0,0,0,0,0,SP,47,2013,9,September,11,Wednesday,3,2,WorkDay,Fall,Top Sellers
10521,Graduation,Married,54809.0,1,1,63.0,6.0,57.0,13.0,13.0,22.0,4,2,1,5,4,0,0,0,0,0,1,0,SP,47,2013,9,September,11,Wednesday,3,2,WorkDay,Fall,Top Sellers
10175,PhD,Divorced,32173.0,0,1,18.0,0.0,2.0,0.0,0.0,2.0,1,1,0,3,4,0,0,0,0,0,0,0,SP,66,2013,8,August,1,Thursday,3,3,WorkDay,Summer,Top Sellers
1473,2n Cycle,Single,47823.0,0,1,53.0,1.0,5.0,2.0,1.0,10.0,2,2,0,3,8,0,0,0,0,0,0,0,CA,64,2013,7,July,23,Tuesday,3,1,WorkDay,Summer,Top Sellers
2795,Master,Single,30523.0,2,1,5.0,0.0,3.0,0.0,0.0,5.0,1,1,0,2,7,0,0,0,0,0,0,0,CA,66,2013,7,July,1,Monday,3,0,WorkDay,Summer,Top Sellers
2285,Master,Together,36634.0,0,1,213.0,9.0,76.0,4.0,3.0,30.0,3,5,2,5,7,0,0,0,0,0,0,0,SA,70,2013,5,May,28,Tuesday,2,1,WorkDay,Spring,Top Sellers
115,Master,Single,43456.0,0,1,275.0,11.0,68.0,25.0,7.0,7.0,3,5,1,8,5,0,0,0,0,0,0,0,IND,58,2013,3,March,26,Tuesday,1,1,WorkDay,Spring,Top Sellers
10470,Master,Married,40662.0,1,0,40.0,2.0,23.0,0.0,4.0,23.0,2,2,1,3,4,0,0,0,0,0,0,0,GER,45,2013,3,March,15,Friday,1,4,WorkDay,Spring,Top Sellers
4065,PhD,Married,49544.0,1,0,308.0,0.0,73.0,0.0,0.0,23.0,2,5,1,8,7,0,0,0,0,0,0,0,SP,48,2013,2,February,12,Tuesday,1,1,WorkDay,Winter,Top Sellers
10968,Graduation,Single,57731.0,0,1,266.0,21.0,300.0,65.0,8.0,44.0,4,8,8,6,6,0,0,0,0,0,0,0,IND,55,2012,11,November,23,Friday,4,4,WorkDay,Fall,Top Sellers
5985,Master,Single,33168.0,0,1,80.0,1.0,37.0,0.0,1.0,3.0,3,2,1,4,7,0,0,0,0,0,0,0,SP,59,2012,10,October,13,Saturday,4,5,WeekEnd,Fall,Top Sellers
5430,Graduation,Together,54450.0,1,1,454.0,0.0,171.0,8.0,19.0,32.0,12,9,2,8,8,0,0,0,0,0,0,0,SP,68,2012,9,September,14,Friday,3,4,WorkDay,Fall,Top Sellers
8432,Graduation,Together,54450.0,1,1,454.0,0.0,171.0,8.0,19.0,32.0,12,9,2,8,8,0,0,0,0,0,0,0,SP,68,2012,9,September,14,Friday,3,4,WorkDay,Fall,Top Sellers
453,PhD,Widow,35340.0,1,1,27.0,0.0,12.0,0.0,1.0,5.0,2,2,0,3,5,0,0,0,0,0,0,0,SP,68,2014,6,June,29,Sunday,2,6,WeekEnd,Summer,Top Sellers
9687,Graduation,Single,73170.0,0,0,184.0,174.0,256.0,50.0,30.0,32.0,1,5,4,6,2,0,0,0,0,0,0,0,CA,49,2014,5,May,31,Saturday,2,5,WeekEnd,Spring,Top Sellers
8890,PhD,Divorced,65808.0,1,1,155.0,7.0,80.0,13.0,7.0,10.0,3,5,1,5,6,0,0,0,0,0,0,0,SP,53,2014,5,May,30,Friday,2,4,WorkDay,Spring,Top Sellers
9264,Graduation,Married,79529.0,0,0,423.0,42.0,706.0,73.0,197.0,197.0,1,4,8,9,2,0,0,0,0,0,0,0,CA,38,2014,4,April,27,Sunday,2,6,WeekEnd,Spring,Top Sellers
5824,PhD,Together,34578.0,2,1,7.0,0.0,1.0,0.0,0.0,0.0,1,1,0,2,6,0,0,0,0,0,0,0,AUS,52,2014,4,April,11,Friday,2,4,WorkDay,Spring,Top Sellers
5794,PhD,Married,46374.0,0,1,408.0,0.0,21.0,0.0,0.0,17.0,3,7,1,7,8,0,1,0,1,0,1,0,IND,50,2014,3,March,17,Monday,1,0,WorkDay,Spring,Top Sellers
3068,Graduation,Married,18351.0,0,0,1.0,12.0,9.0,0.0,14.0,7.0,1,2,0,3,7,0,0,0,0,0,0,0,SP,34,2013,10,October,29,Tuesday,4,1,WorkDay,Fall,Top Sellers
7962,PhD,Single,95169.0,0,0,1285.0,21.0,449.0,106.0,20.0,20.0,1,4,3,4,1,0,0,1,1,0,1,0,SP,37,2013,10,October,9,Wednesday,4,2,WorkDay,Fall,Top Sellers
2681,2n Cycle,Married,65370.0,0,0,71.0,22.0,112.0,138.0,89.0,29.0,1,2,3,13,1,0,0,0,0,0,0,0,SP,40,2013,8,August,1,Thursday,3,3,WorkDay,Summer,Top Sellers
10141,Master,Divorced,39228.0,0,0,7.0,1.0,6.0,0.0,3.0,3.0,1,0,0,3,4,0,0,0,0,0,0,0,SA,64,2013,5,May,10,Friday,2,4,WorkDay,Spring,Top Sellers
3725,PhD,Single,84865.0,0,0,1248.0,16.0,349.0,43.0,16.0,16.0,1,2,4,9,4,0,1,1,1,1,1,0,SP,63,2013,5,May,9,Thursday,2,3,WorkDay,Spring,Top Sellers
3767,Graduation,Married,61314.0,0,1,378.0,0.0,189.0,97.0,172.0,172.0,2,5,5,12,3,0,0,0,0,0,0,0,SP,56,2013,4,April,25,Thursday,2,3,WorkDay,Spring,Top Sellers
5585,Graduation,Single,21359.0,1,0,12.0,2.0,17.0,6.0,1.0,10.0,2,2,0,3,8,0,0,0,0,0,1,0,CA,52,2013,4,April,20,Saturday,2,5,WeekEnd,Spring,Top Sellers
7030,PhD,Married,66465.0,0,1,1200.0,0.0,204.0,38.0,29.0,14.0,3,11,9,12,6,0,0,0,1,0,0,0,SP,69,2013,3,March,30,Saturday,1,5,WeekEnd,Spring,Top Sellers
1524,2n Cycle,Single,81698.0,0,0,709.0,45.0,115.0,30.0,160.0,45.0,1,8,2,5,5,0,0,0,1,0,1,0,SP,41,2013,3,March,1,Friday,1,4,WorkDay,Spring,Top Sellers
3657,Graduation,Single,39146.0,1,0,94.0,1.0,33.0,13.0,12.0,12.0,3,4,0,4,8,0,0,0,0,0,0,0,SP,38,2013,2,February,14,Thursday,1,3,WorkDay,Winter,Top Sellers
5740,2n Cycle,Divorced,25959.0,1,1,4.0,2.0,12.0,7.0,5.0,26.0,2,1,2,2,6,0,0,0,0,0,1,0,SP,54,2013,2,February,14,Thursday,1,3,WorkDay,Winter,Top Sellers
9595,Graduation,Together,64260.0,0,0,539.0,169.0,816.0,20.0,0.0,30.0,1,4,5,4,3,0,0,0,0,0,1,0,SP,63,2013,1,January,11,Friday,1,4,WorkDay,Winter,Top Sellers
3158,Graduation,Married,32300.0,1,0,13.0,3.0,6.0,6.0,5.0,6.0,1,1,0,3,8,0,0,0,0,0,0,0,SP,51,2013,1,January,3,Thursday,1,3,WorkDay,Winter,Top Sellers
5114,Master,Married,74806.0,0,1,670.0,9.0,249.0,0.0,28.0,9.0,2,5,4,5,4,0,0,0,0,0,0,0,AUS,59,2012,12,December,19,Wednesday,4,2,WorkDay,Winter,Top Sellers
340,Graduation,Divorced,72967.0,0,1,158.0,35.0,179.0,0.0,0.0,125.0,2,7,2,8,5,1,0,0,0,0,1,0,GER,54,2012,12,December,15,Saturday,4,5,WeekEnd,Winter,Top Sellers
8805,Graduation,Single,48904.0,0,1,283.0,10.0,38.0,0.0,13.0,27.0,4,7,2,4,8,0,0,0,0,0,0,0,US,64,2012,12,December,2,Sunday,4,6,WeekEnd,Winter,Top Sellers
1241,2n Cycle,Married,14796.0,1,0,13.0,3.0,8.0,7.0,4.0,16.0,2,1,0,3,9,0,0,0,0,0,1,0,GER,40,2012,9,September,17,Monday,3,0,WorkDay,Fall,Top Sellers
1402,Master,Married,66991.0,0,0,496.0,36.0,460.0,189.0,60.0,12.0,3,4,8,6,3,0,0,0,0,0,0,0,GER,70,2012,9,September,11,Tuesday,3,1,WorkDay,Fall,Top Sellers
7264,2n Cycle,Single,52195.0,2,1,12.0,0.0,4.0,0.0,0.0,1.0,1,1,0,2,8,0,0,0,0,0,0,0,SA,46,2014,5,May,12,Monday,2,0,WorkDay,Spring,Top Sellers
1619,Graduation,Married,90369.0,0,0,292.0,51.0,981.0,224.0,23.0,17.0,1,4,6,6,1,0,0,0,0,0,1,0,SP,68,2014,4,April,28,Monday,2,0,WorkDay,Spring,Top Sellers
6398,Basic,Married,18393.0,1,0,7.0,10.0,13.0,16.0,0.0,4.0,2,3,0,3,8,0,0,0,0,0,0,0,SP,50,2014,3,March,29,Saturday,1,5,WeekEnd,Spring,Top Sellers
1857,Graduation,Single,47139.0,1,1,46.0,0.0,12.0,0.0,2.0,23.0,2,2,1,2,7,0,0,0,0,0,1,0,SP,72,2014,3,March,6,Thursday,1,3,WorkDay,Spring,Top Sellers
4877,Master,Married,38576.0,0,1,34.0,0.0,7.0,0.0,0.0,0.0,1,1,0,3,7,0,0,0,0,0,0,0,IND,51,2014,3,March,4,Tuesday,1,1,WorkDay,Spring,Top Sellers
3066,PhD,Together,61905.0,0,1,167.0,0.0,43.0,6.0,2.0,13.0,2,4,2,4,5,0,0,0,0,0,0,0,SA,49,2014,2,February,4,Tuesday,1,1,WorkDay,Winter,Top Sellers
10286,Graduation,Married,83715.0,0,0,318.0,8.0,407.0,150.0,35.0,8.0,1,2,8,13,0,0,0,0,0,0,0,0,SA,62,2014,2,February,3,Monday,1,0,WorkDay,Winter,Top Sellers
1992,Graduation,Married,60597.0,0,1,522.0,0.0,257.0,32.0,16.0,66.0,4,2,2,8,7,0,0,0,1,0,1,0,SP,60,2014,1,January,1,Wednesday,1,2,WorkDay,Winter,Top Sellers
4246,Master,Single,6560.0,0,0,67.0,11.0,26.0,4.0,3.0,262.0,0,1,0,1,17,0,0,0,0,0,0,0,SP,42,2013,12,December,12,Thursday,4,3,WorkDay,Winter,Top Sellers
10623,Master,Together,48330.0,0,1,28.0,0.0,4.0,0.0,0.0,0.0,1,1,0,3,5,0,0,0,0,0,0,0,SP,63,2013,11,November,15,Friday,4,4,WorkDay,Fall,Top Sellers
4867,PhD,Single,38236.0,1,1,58.0,0.0,18.0,2.0,0.0,10.0,4,3,0,4,7,0,0,0,0,0,0,0,SP,56,2013,9,September,20,Friday,3,4,WorkDay,Fall,Top Sellers
3112,Master,Married,22701.0,1,0,2.0,4.0,9.0,0.0,4.0,5.0,1,1,0,3,5,0,0,0,0,0,0,0,SP,47,2013,9,September,5,Thursday,3,3,WorkDay,Fall,Top Sellers
4865,Master,Divorced,53367.0,1,1,229.0,7.0,140.0,10.0,3.0,11.0,7,5,1,8,7,0,0,0,0,0,1,0,AUS,50,2013,8,August,31,Saturday,3,5,WeekEnd,Summer,Top Sellers
6287,Graduation,Together,34728.0,1,0,14.0,0.0,16.0,0.0,0.0,6.0,1,1,1,2,6,0,0,0,0,0,1,0,SP,38,2013,7,July,30,Tuesday,3,1,WorkDay,Summer,Top Sellers
4405,Master,Married,63915.0,0,2,622.0,7.0,115.0,30.0,0.0,15.0,2,6,3,12,5,0,0,0,0,0,0,0,AUS,68,2013,7,July,30,Tuesday,3,1,WorkDay,Summer,Top Sellers
5332,2n Cycle,Married,82504.0,0,0,362.0,50.0,431.0,134.0,35.0,54.0,1,3,6,7,1,0,0,0,0,0,0,0,IND,64,2013,7,July,27,Saturday,3,5,WeekEnd,Summer,Top Sellers
1519,PhD,Single,38578.0,1,1,38.0,4.0,22.0,3.0,3.0,3.0,3,3,0,3,8,0,0,0,0,0,1,0,SP,52,2013,6,June,22,Saturday,2,5,WeekEnd,Summer,Top Sellers
9080,PhD,Single,38578.0,1,1,38.0,4.0,22.0,3.0,3.0,3.0,3,3,0,3,8,0,0,0,0,0,0,0,SP,52,2013,6,June,22,Saturday,2,5,WeekEnd,Summer,Top Sellers
1772,PhD,Married,79174.0,0,0,1074.0,37.0,518.0,193.0,92.0,129.0,1,5,6,7,2,0,0,1,1,0,1,0,CA,49,2013,1,January,11,Friday,1,4,WorkDay,Winter,Top Sellers
5341,2n Cycle,Divorced,81975.0,0,1,983.0,76.0,184.0,180.0,138.0,27.0,1,6,3,4,7,0,0,1,0,0,0,0,SA,62,2013,1,January,5,Saturday,1,5,WeekEnd,Winter,Top Sellers
5510,Master,Married,43263.0,0,1,262.0,6.0,61.0,0.0,10.0,102.0,3,5,2,6,5,0,0,0,0,0,0,0,SP,47,2012,11,November,21,Wednesday,4,2,WorkDay,Fall,Top Sellers
3887,Graduation,Single,27242.0,1,0,3.0,17.0,26.0,20.0,1.0,39.0,2,2,0,3,9,0,0,0,0,0,1,0,IND,54,2012,11,November,11,Sunday,4,6,WeekEnd,Fall,Top Sellers
7022,Graduation,Married,76445.0,1,0,739.0,107.0,309.0,140.0,80.0,35.0,1,2,5,13,6,0,0,0,0,0,0,0,SA,53,2012,9,September,28,Friday,3,4,WorkDay,Fall,Top Sellers
9999,Graduation,Together,75276.0,0,0,610.0,105.0,125.0,137.0,42.0,21.0,1,9,4,9,5,0,0,0,0,0,0,0,SP,59,2012,9,September,27,Thursday,3,3,WorkDay,Fall,Top Sellers
10352,Graduation,Widow,34213.0,1,1,50.0,4.0,28.0,6.0,3.0,26.0,3,3,1,2,9,0,0,0,0,0,1,0,SA,61,2012,9,September,7,Friday,3,4,WorkDay,Fall,Top Sellers
7919,PhD,Together,72335.0,0,0,1285.0,105.0,653.0,28.0,21.0,0.0,1,10,4,8,8,0,0,0,0,0,1,0,SP,48,2012,8,August,13,Monday,3,0,WorkDay,Summer,Top Sellers
4114,Master,Married,79143.0,0,0,650.0,37.0,780.0,27.0,167.0,32.0,1,6,9,13,3,0,0,0,0,0,0,0,AUS,60,2012,8,August,11,Saturday,3,5,WeekEnd,Summer,Top Sellers
7990,Graduation,Married,27469.0,0,0,9.0,1.0,2.0,3.0,2.0,0.0,1,0,0,3,6,0,0,0,0,0,0,0,CA,77,2012,8,August,2,Thursday,3,3,WorkDay,Summer,Top Sellers
9888,Graduation,Together,68695.0,0,0,458.0,81.0,356.0,106.0,50.0,40.0,1,4,4,7,2,0,0,0,0,0,0,0,SP,55,2014,6,June,25,Wednesday,2,2,WorkDay,Summer,Top Sellers
4399,Graduation,Together,68695.0,0,0,458.0,81.0,356.0,106.0,50.0,40.0,1,4,4,7,2,0,0,0,0,0,0,0,CA,55,2014,6,June,25,Wednesday,2,2,WorkDay,Summer,Top Sellers
4452,Graduation,Single,50388.0,0,1,292.0,6.0,37.0,0.0,3.0,34.0,4,6,1,6,7,0,1,0,1,0,1,0,GER,67,2014,5,May,28,Wednesday,2,2,WorkDay,Spring,Top Sellers
4785,PhD,Together,77622.0,0,2,520.0,7.0,154.0,19.0,0.0,14.0,2,6,3,11,3,0,0,0,0,0,0,0,SA,54,2014,4,April,14,Monday,2,0,WorkDay,Spring,Top Sellers
8461,Graduation,Divorced,46102.0,2,1,14.0,0.0,1.0,0.0,0.0,1.0,1,1,0,2,7,0,0,0,0,0,0,0,SP,62,2014,3,March,10,Monday,1,0,WorkDay,Spring,Top Sellers
3878,2n Cycle,Single,31859.0,1,0,3.0,4.0,7.0,15.0,8.0,11.0,1,1,0,3,7,0,0,0,0,0,0,0,SP,44,2014,2,February,27,Thursday,1,3,WorkDay,Winter,Top Sellers
9612,2n Cycle,Single,23830.0,0,0,1.0,8.0,6.0,4.0,8.0,16.0,1,1,0,3,7,0,0,0,0,0,0,0,SP,37,2014,2,February,7,Friday,1,4,WorkDay,Winter,Top Sellers
4098,Graduation,Married,24639.0,1,1,20.0,3.0,16.0,0.0,4.0,1.0,3,2,0,4,6,0,0,0,0,0,0,0,AUS,51,2014,1,January,28,Tuesday,1,1,WorkDay,Winter,Top Sellers
158,PhD,Together,71604.0,0,0,345.0,53.0,528.0,98.0,75.0,97.0,1,8,3,5,4,1,0,0,0,0,1,0,SP,79,2013,11,November,17,Sunday,4,6,WeekEnd,Fall,Top Sellers
3896,Graduation,Married,27255.0,1,0,22.0,1.0,11.0,0.0,1.0,2.0,1,1,0,3,7,0,0,0,0,0,0,0,SP,40,2013,11,November,7,Thursday,4,3,WorkDay,Fall,Top Sellers
9970,Graduation,Together,55375.0,0,1,42.0,11.0,57.0,10.0,28.0,14.0,1,1,1,6,2,0,0,0,0,0,0,0,CA,47,2013,10,October,17,Thursday,4,3,WorkDay,Fall,Top Sellers
4002,PhD,Married,77037.0,0,1,463.0,96.0,333.0,168.0,53.0,10.0,1,7,7,12,3,0,0,0,0,0,0,0,SP,64,2013,10,October,13,Sunday,4,6,WeekEnd,Fall,Top Sellers
10914,Graduation,Single,24163.0,1,1,4.0,1.0,7.0,2.0,1.0,2.0,2,1,0,3,4,0,0,0,0,0,0,0,SP,54,2013,10,October,12,Saturday,4,5,WeekEnd,Fall,Top Sellers
7279,PhD,Together,69476.0,0,0,260.0,86.0,559.0,63.0,9.0,67.0,1,4,6,4,2,0,0,0,0,0,0,0,US,55,2013,9,September,30,Monday,3,0,WorkDay,Fall,Top Sellers
10582,Graduation,Married,72063.0,0,1,180.0,32.0,348.0,76.0,32.0,90.0,2,5,2,12,2,0,0,0,0,0,0,0,GER,45,2013,7,July,3,Wednesday,3,2,WorkDay,Summer,Top Sellers
4470,Master,Married,58646.0,0,1,62.0,1.0,44.0,6.0,5.0,22.0,1,2,1,4,4,0,0,0,0,0,0,0,SP,62,2013,6,June,10,Monday,2,0,WorkDay,Summer,Top Sellers
6183,Master,Married,58646.0,0,1,62.0,1.0,44.0,6.0,5.0,22.0,1,2,1,4,4,0,0,0,0,0,0,0,GER,62,2013,6,June,10,Monday,2,0,WorkDay,Summer,Top Sellers
6379,Master,Widow,47570.0,1,1,67.0,1.0,20.0,0.0,2.0,31.0,3,2,2,2,7,0,0,0,0,0,1,0,US,75,2013,5,May,29,Wednesday,2,2,WorkDay,Spring,Top Sellers
8601,Graduation,Married,80011.0,0,1,421.0,76.0,536.0,82.0,178.0,102.0,2,8,6,5,4,0,0,0,0,0,0,0,AUS,44,2013,4,April,29,Monday,2,0,WorkDay,Spring,Top Sellers
4827,PhD,Single,54998.0,0,1,154.0,22.0,202.0,39.0,30.0,8.0,5,4,2,9,4,0,0,0,0,0,1,0,SP,68,2013,3,March,10,Sunday,1,6,WeekEnd,Spring,Top Sellers
6715,PhD,Single,60200.0,0,1,502.0,19.0,132.0,0.0,6.0,26.0,6,6,2,11,6,0,0,0,0,0,0,0,SP,76,2013,1,January,2,Wednesday,1,2,WorkDay,Winter,Top Sellers
10676,Graduation,Married,63211.0,0,0,145.0,193.0,459.0,205.0,26.0,145.0,2,3,8,7,2,0,0,0,0,0,1,0,SP,42,2012,11,November,2,Friday,4,4,WorkDay,Fall,Top Sellers
1041,PhD,Single,48432.0,0,1,322.0,3.0,50.0,4.0,3.0,42.0,5,7,1,6,8,0,0,0,0,0,1,0,SA,51,2012,10,October,18,Thursday,4,3,WorkDay,Fall,Top Sellers
11133,PhD,Other,48432.0,0,1,322.0,3.0,50.0,4.0,3.0,42.0,5,7,1,6,8,0,0,0,0,0,1,0,IND,51,2012,10,October,18,Thursday,4,3,WorkDay,Fall,Top Sellers
4491,Master,Married,62845.0,1,1,1099.0,0.0,45.0,0.0,0.0,34.0,11,3,4,10,8,0,1,0,0,0,0,0,SP,75,2012,10,October,1,Monday,4,0,WorkDay,Fall,Top Sellers
873,Master,Married,62845.0,1,1,1099.0,0.0,45.0,0.0,0.0,34.0,11,3,4,10,8,0,1,0,0,0,1,0,SP,75,2012,10,October,1,Monday,4,0,WorkDay,Fall,Top Sellers
1631,PhD,Together,65220.0,0,0,890.0,63.0,292.0,0.0,25.0,12.0,4,8,4,7,6,0,0,0,0,0,1,0,GER,59,2012,9,September,3,Monday,3,0,WorkDay,Fall,Top Sellers
8278,PhD,Married,74214.0,0,0,863.0,83.0,547.0,86.0,99.0,33.0,1,8,2,5,5,0,0,0,0,0,0,0,SP,34,2012,8,August,26,Sunday,3,6,WeekEnd,Summer,Top Sellers
6815,2n Cycle,Married,96547.0,0,0,448.0,21.0,125.0,52.0,101.0,62.0,0,7,6,8,2,1,0,1,1,0,1,0,SP,44,2014,5,May,23,Friday,2,4,WorkDay,Spring,Top Sellers
254,Graduation,Together,53863.0,0,1,399.0,4.0,30.0,6.0,4.0,30.0,3,7,1,7,7,0,1,0,0,0,0,0,SP,69,2014,5,May,17,Saturday,2,5,WeekEnd,Spring,Top Sellers
1349,Graduation,Married,50447.0,2,0,85.0,7.0,24.0,2.0,3.0,27.0,1,3,1,3,6,0,0,0,0,0,0,0,IND,54,2014,4,April,21,Monday,2,0,WorkDay,Spring,Top Sellers
2534,Graduation,Married,37716.0,0,1,97.0,1.0,41.0,6.0,2.0,41.0,2,4,1,3,7,0,0,0,0,0,0,0,AUS,71,2014,4,April,21,Monday,2,0,WorkDay,Spring,Top Sellers
2130,Graduation,Together,45203.0,2,0,35.0,3.0,67.0,10.0,8.0,24.0,1,3,1,3,6,0,0,0,0,0,1,0,SA,42,2014,3,March,23,Sunday,1,6,WeekEnd,Spring,Top Sellers
2296,Master,Married,37368.0,1,0,3.0,2.0,11.0,2.0,2.0,10.0,1,1,0,2,6,1,0,0,0,0,0,0,SP,49,2013,12,December,16,Monday,4,0,WorkDay,Winter,Top Sellers
3799,Graduation,Married,67225.0,0,1,315.0,35.0,322.0,46.0,7.0,143.0,3,7,2,11,5,0,0,0,0,0,0,0,US,69,2013,11,November,26,Tuesday,4,1,WorkDay,Fall,Top Sellers
11084,Master,Together,65104.0,0,1,738.0,0.0,232.0,13.0,20.0,50.0,2,3,5,7,7,0,0,0,0,0,1,0,CA,48,2013,11,November,14,Thursday,4,3,WorkDay,Fall,Top Sellers
5172,Master,Together,65104.0,0,1,738.0,0.0,232.0,13.0,20.0,50.0,2,3,5,7,7,0,0,0,0,0,0,0,SP,48,2013,11,November,14,Thursday,4,3,WorkDay,Fall,Top Sellers
9504,Master,Married,81698.0,0,0,179.0,28.0,520.0,111.0,123.0,47.0,1,3,8,13,1,0,0,0,0,0,1,0,SP,75,2013,11,November,6,Wednesday,4,2,WorkDay,Fall,Top Sellers
850,Graduation,Single,70566.0,0,1,381.0,28.0,215.0,84.0,28.0,21.0,2,6,5,9,3,0,0,0,0,0,0,0,SP,56,2013,10,October,6,Sunday,4,6,WeekEnd,Fall,Top Sellers
4477,Graduation,Together,69096.0,0,1,247.0,49.0,159.0,7.0,82.0,109.0,1,5,2,10,4,0,0,0,0,0,0,0,GER,66,2013,9,September,27,Friday,3,4,WorkDay,Fall,Top Sellers
1945,Graduation,Married,71434.0,0,1,711.0,36.0,217.0,172.0,96.0,168.0,3,7,4,7,4,0,1,0,1,0,0,0,SP,62,2013,9,September,18,Wednesday,3,2,WorkDay,Fall,Top Sellers
7685,Graduation,Married,33039.0,1,0,30.0,8.0,12.0,8.0,8.0,12.0,1,2,0,4,5,0,0,0,0,0,0,0,SP,46,2013,9,September,9,Monday,3,0,WorkDay,Fall,Top Sellers
6310,Graduation,Married,33039.0,1,0,30.0,8.0,12.0,8.0,8.0,12.0,1,2,0,4,5,0,0,0,0,0,0,0,CA,46,2013,9,September,9,Monday,3,0,WorkDay,Fall,Top Sellers
10832,Graduation,Together,46610.0,0,0,288.0,10.0,30.0,4.0,10.0,125.0,1,6,1,6,6,0,0,0,0,0,0,0,SP,66,2013,7,July,18,Thursday,3,3,WorkDay,Summer,Top Sellers
3025,Graduation,Single,49967.0,0,1,212.0,6.0,69.0,4.0,12.0,3.0,3,6,1,5,7,0,0,0,0,0,0,0,CA,66,2013,7,July,8,Monday,3,0,WorkDay,Summer,Top Sellers
2404,Graduation,Married,53359.0,1,1,173.0,4.0,30.0,3.0,6.0,41.0,4,5,1,4,7,0,0,0,0,0,0,0,US,48,2013,5,May,27,Monday,2,0,WorkDay,Spring,Top Sellers
